"id","name","model","brand","slug","product_id"
"65a49d4e7aba1accd77bab2f","Direct Thermal label ","100x150mm - 400 Roll","Rollabel™","rollabel-direct-thermal-label-100×150-mm-400-roll","DT_100x150_400"
"655b45fe0ebe678ef4df6875","Direct Thermal Label ","DT_100x75_250","Rollabel™","Rollabel™ Direct Thermal Label 100x75mm - 250 Labels Per Roll","DT_100x75_250"
"655b45fe0ebe678ef4df6876","Direct Thermal Label ","DT_100x75_400","Rollabel™","Rollabel™ Direct Thermal Label 100x75mm - 400 Labels Per Roll","DT_100x75_400"
"655b45fe0ebe678ef4df6853","Flipkart paper bag","pb4","Flipkart","flipkart-paper-bag-pb4","PB4"
"655b45fe0ebe678ef4df6854","flipkart paper bag","pb5","Flipkart","flipkart-paper-bag-pb5","PB5"
"655b45fe0ebe678ef4df6850","paper bag","pb2","Flipkart","flipkart-paper-bag-pb2","PB2"
"655b45fe0ebe678ef4df684f","paper bag","pb1.5","Flipkart","flipkart-paper-bag-pb1.5","PB1.5"
"655b45fe0ebe678ef4df6851","paper bag","pb3","Flipkart","flipkart-paper-bag-pb3","PB3"
"655b45fe0ebe678ef4df6852","paper bag","pb3.5","Flipkart","flipkart-paper-bag-pb3.5","PB3.5"
"655b45fe0ebe678ef4df684e","paper bag","PB1","Flipkart","flipkart-paper-bag-pb1","PB1"
"655b45fe0ebe678ef4df6849","paper bag","pm1","Amazon","amazon-paper-bag-pm1","PM1"
"655b45fe0ebe678ef4df684a","paper bag","pm2","Amazon","amazon-paper-bag-pm2","PM2"
"655b45fe0ebe678ef4df684c","paper bag","pm4","Amazon","amazon-paper-bag-pm4","PM4"
"655b45fe0ebe678ef4df684b","paper bag","pm3","Amazon","amazon-paper-bag-pm3","PM3"
"655bddfc74aaa9c6f3318d8f","polybag 52.5 micron","NMT2","Amazon","amazon-polybag-nmt2-52.5-micron","NMT2"
"655bddfc74aaa9c6f3318d90","polybag 52.5 micron","NPT6","Amazon","amazon-polybag-npt6-52.5-micron","NPT6"
"655bddfc74aaa9c6f3318d91","polybag 52.5 micron","NTT","Amazon","amazon-polybag-ntt-52.5-micron","NTT"
"655bddfc74aaa9c6f3318d8e","polybag 52.5 micron","NMT1","Amazon","amazon-polybag-nmt1-52.5-micron","NMT1"
"6926a910d53f3a772c6d628b","Polybag 52.5 Micron ","NPR7","Amazon","Amazon Polybag 52.5 Micron NPR7","NPR7"
"6642ec2165f20fe41ab44781","Speciality Tape","72mm X 35m X 80gsm","Pack Secure","packpro-speciality-tape-glass-cloth-tape","ST1"
"655b14030ebe678ef4df683f","Transparent BOPP Tape","72mm X 65m X 50 micron","Pack Secure","transparent-bopp-tape-72mm-65-meter-length-50-microns","BT_72x65_50"
"655b14030ebe678ef4df683c","Transparent BOPP tape","48mm X 50m X 50 micron","Pack Secure","transparent-bopp-tape-48mm-50-meter-length-50-microns","BT_48x50_50"
